Image ID,Line,Column,Line rectified,Column rectified,Latitude,Longitude,Speed (km/h),Orientation (degree)
1,1008,572,1140,979,25.568577,-45.782497,N/A,N/A
2,992,544,1124,951,26.212709,-47.691086,11.813518,nan
3,950,544,1082,951,27.693407,-48.741988,16.347010,nan
4,916,494,1048,901,29.152953,-53.048015,17.917405,nan
5,877,449,1009,856,30.916109,-58.293693,18.054678,nan
6,847,419,979,826,32.400345,-63.277686,17.536965,nan
7,820,389,952,796,34.070383,-71.117020,373.689706,-0.112846
8,793,354,925,761,-999.999000,-999.999000,364.418551,-0.092260
9,771,328,903,735,-999.999000,-999.999000,0.000000,-nan
10,753,303,885,710,-999.999000,-999.999000,0.000000,-nan
11,743,281,875,688,-999.999000,-999.999000,0.000000,-nan
12,742,259,874,666,-999.999000,-999.999000,0.000000,-nan
13,737,245,869,652,-999.999000,-999.999000,0.000000,-nan
14,733,226,865,633,-999.999000,-999.999000,0.000000,-nan
15,732,209,864,616,-999.999000,-999.999000,0.000000,-nan
16,732,188,864,595,-999.999000,-999.999000,0.000000,-nan
17,732,172,864,579,-999.999000,-999.999000,0.000000,-nan
18,725,152,857,559,-999.999000,-999.999000,0.000000,-nan
19,713,140,845,547,-999.999000,-999.999000,0.000000,-nan
20,696,128,828,535,-999.999000,-999.999000,0.000000,-nan
21,685,126,817,533,-999.999000,-999.999000,N/A,N/A
